Src,Eqid,Version,Datetime,Lat,Lon,Magnitude,Depth,NST,Region
ci,10494293,O,"Monday, November  9, 2009 03:46:50 UTC",36.4073,-117.8708,1.0,6.00,11,"Central California"
ak,10019431,2,"Monday, November  9, 2009 03:09:27 UTC",60.4151,-151.7559,1.6,71.40,19,"Kenai Peninsula, Alaska"
ci,10494277,1,"Monday, November  9, 2009 03:08:56 UTC",35.7790,-117.9255,1.4,6.80,37,"Southern California"
ak,10019427,2,"Monday, November  9, 2009 02:55:13 UTC",63.1660,-150.6142,2.3,121.40,42,"Central Alaska"
ak,10019426,2,"Monday, November  9, 2009 02:45:14 UTC",61.6341,-150.2539,1.4,3.50,17,"Southern Alaska"
uu,11090225,2,"Monday, November  9, 2009 02:25:36 UTC",39.6893,-110.4798,1.5,2.80, 7,"Utah"
pr,p0931301,1,"Monday, November  9, 2009 02:20:48 UTC",18.4542,-67.5177,2.7,18.40,15,"Mona Passage, Puerto Rico"
nc,71307050,2,"Monday, November  9, 2009 01:51:01 UTC",38.8160,-122.7943,1.1,3.80,33,"Northern California"
ci,10494261,M,"Monday, November  9, 2009 01:45:10 UTC",33.4746,-117.0571,1.2,11.30,36,"Southern California"
nc,71307045,2,"Monday, November  9, 2009 01:44:23 UTC",40.4677,-121.5433,1.1,5.00,11,"Lassen Peak area, California"
ci,10494213,M,"Monday, November  9, 2009 01:30:01 UTC",35.7825,-117.6651,1.5,7.60,42,"Southern California"
ak,10019416,2,"Monday, November  9, 2009 01:17:11 UTC",63.3287,-146.1480,1.4,37.00, 4,"Central Alaska"
us,2009nuag,6,"Monday, November  9, 2009 01:14:01 UTC",52.4312,-168.6808,5.1,40.40,194,"Fox Islands, Aleutian Islands, Alaska"
ci,10494205,M,"Monday, November  9, 2009 00:52:37 UTC",32.6503,-115.6396,1.2,4.60,11,"Baja California, Mexico"
nm,hnw1109a,A,"Monday, November  9, 2009 00:48:48 UTC",36.4773,-89.5393,1.7,8.10,18,"southeastern Missouri"
nc,71307030,2,"Monday, November  9, 2009 00:43:05 UTC",39.8425,-123.5133,1.5,11.10,11,"Northern California"
ci,10494197,M,"Monday, November  9, 2009 00:35:44 UTC",36.3720,-117.8423,1.4,2.80,21,"Central California"
nc,71307025,0,"Monday, November  9, 2009 00:30:32 UTC",38.8243,-122.8065,1.0,2.70,16,"Northern California"
us,2009nuac,6,"Monday, November  9, 2009 00:21:40 UTC",-43.4920,39.6232,5.5,9.30,56,"Prince Edward Islands region"
ak,10019411,2,"Monday, November  9, 2009 00:21:30 UTC",63.9181,-148.9184,1.9,5.00,20,"Central Alaska"
ak,10019410,2,"Monday, November  9, 2009 00:11:40 UTC",61.4427,-146.6013,1.3,19.90,14,"Southern Alaska"
ak,10019886,2,"Monday, November  9, 2009 00:01:30 UTC",62.3408,-142.5602,1.4,10.20,12,"Central Alaska"
nc,71307015,5,"Sunday, November  8, 2009 23:28:44 UTC",40.3970,-125.2912,2.7,20.60,48,"offshore Northern California"
ci,10494189,M,"Sunday, November  8, 2009 23:16:26 UTC",35.7791,-117.9230,1.2,4.80,33,"Southern California"
ak,10019408,2,"Sunday, November  8, 2009 23:14:04 UTC",52.2740,-168.1489,2.9,8.40, 9,"Fox Islands, Aleutian Islands, Alaska"
ak,10019768,2,"Sunday, November  8, 2009 23:08:34 UTC",52.1761,-168.3211,3.8,8.80,22,"Fox Islands, Aleutian Islands, Alaska"
us,2009ntbl,8,"Sunday, November  8, 2009 23:05:19 UTC",52.3323,-168.5288,5.3,39.00,273,"Fox Islands, Aleutian Islands, Alaska"
ak,10019395,2,"Sunday, November  8, 2009 22:59:03 UTC",63.1336,-151.4649,1.0,2.90, 8,"Central Alaska"
ci,10494181,M,"Sunday, November  8, 2009 22:48:45 UTC",32.6518,-115.6400,1.8,5.20,20,"Baja California, Mexico"
nc,71306980,2,"Sunday, November  8, 2009 22:30:45 UTC",37.4518,-121.8055,2.6,6.30,120,"San Francisco Bay area, California"
ak,10019765,2,"Sunday, November  8, 2009 22:23:12 UTC",61.8222,-149.5148,1.4,42.20,19,"Southern Alaska"
nc,71306975,2,"Sunday, November  8, 2009 22:22:09 UTC",38.8002,-122.7673,2.2,1.90,66,"Northern California"
pr,p0931205,1,"Sunday, November  8, 2009 22:19:09 UTC",19.2363,-67.9797,3.3,77.90,10,"Dominican Republic region"
